entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri
October 9,"""My Love Is Your Love""",Whitney Houston,4,January 1,17,2000,spotify:track:1ckU1EhAO0Nr73QYw24SWJ
December 4,"""I Knew I Loved You""",Savage Garden,1,January 29,17,2000,spotify:track:6nozDLxeL0TE4MS9GqYU1v
December 25,"""Bring It All to Me""",Blaque,5,January 22,9,2000,spotify:track:1cjBan0t4eBk2Y5j17hdyf
January 8,"""Auld Lang Syne""",Kenny G,7,January 8,2,2000,spotify:track:7h4FywzqhgZrrvpiLDJ2vw
January 15,"""What a Girl Wants""",Christina Aguilera,1,January 15,7,2000,spotify:track:5bGmuxShUba9maPswDnhCs
January 22,"""Blue Da Ba Dee""",Eiffel 65,6,January 29,4,2000,spotify:track:2yAVzRiEQooPEJ9SYx11L3
January 29,"""Thats the Way It Is""",Céline Dion,6,March 4,9,2000,spotify:track:5s4catxeZsaWFnOrvrXZHf
February 5,"""Get It On Tonite""",Montell Jordan,4,February 12,12,2000,spotify:track:0AcLrSfAEBQcUnHOTm5pXg
February 12,"""All the Small Things""",Blink-182,6,February 19,5,2000,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
February 19,"""Show Me the Meaning of Being Lonely""",Backstreet Boys,6,March 18,8,2000,spotify:track:3BsaRV5QIulYz2lV9WWa8T
February 26,"""Amazed""",Lonestar,1,March 4,12,2000,spotify:track:6qc34bnVOyqGDPni8H5W0U
February 26,"""Breathe""",Faith Hill,2,April 22,19,2000,spotify:track:3y4LxiYMgDl4RethdzpmNe
March 4,"""Bye Bye Bye""",'N Sync,4,April 15,12,2000,spotify:track:62bOmKYxYg7dhrC6gH9vFn
March 18,"""Say My Name""",Destiny's Child,1,March 18,11,2000,spotify:track:7H6ev70Weq6DdpZyyTmUXk
April 1,"""Thong Song""",Sisqó,3,May 20,13,2000,spotify:track:5Mmk2ii6laakqfeCT7OnVD
April 8,"""There You Go""",Pink,7,April 8,7,2000,spotify:track:2qQTfMHztlpMT4YclPhjG0
April 15,"""I Try""",Macy Gray,5,May 20,9,2000,spotify:track:5TAf4lnZCZTLlZHNZMLFLi
April 22,"""It Feels So Good""",Sonique,8,April 22,3,2000,spotify:track:4Y8q64VnhD0vFYy9g2WFpi
April 22,"""Everything You Want""",Vertical Horizon,1,July 15,19,2000,spotify:track:4cKGldbhGJniI8BrB3K6tb
April 29,"""He Wasnt Man Enough""",Toni Braxton,2,May 6,7,2000,spotify:track:7f1Dmr246cJ9uQYdbplTbh
May 13,"""Be with You""",Enrique Iglesias,1,June 24,10,2000,spotify:track:1lZ4j5WBURBwZ0M5TT46wP
May 20,"""Try Again""",Aaliyah,1,June 17,15,2000,spotify:track:6Wnlq1Pu3I0BajLvxn05Vr
May 27,"""You Sang to Me""",Marc Anthony,2,June 3,6,2000,spotify:track:2dwhMQsFeHr2S787WxqAqW
June 3,"""I Wanna Know""",Joe,4,July 1,16,2000,spotify:track:1m2xMsxbtxv21Brome189p
June 10,"""The Real Slim Shady""",Eminem,4,June 24,7,2000,spotify:track:3yfqSUWxFvZELEM4PmlwIR
June 10,"""Oops! I Did It Again""",Britney Spears,9,June 10,3,2000,spotify:track:6naxalmIoLFWR0siv8dnQQ
June 24,"""Its Gonna Be Me""",'N Sync,1,July 29,11,2000,spotify:track:2AW37v0bDyuOzGP3XnmFuA
July 1,"""I Turn to You""",Christina Aguilera,3,July 1,4,2000,spotify:track:4Do68W4FWO2hRAJCzG1lus
July 8,"""Bent""",Matchbox Twenty,1,July 22,14,2000,spotify:track:6fA7akEuTUL3dW1V0GELaZ
July 8,"""Higher""",Creed,7,July 22,6,2000,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT
July 22,"""Absolutely Story of a Girl""",Nine Days,6,July 22,7,2000,spotify:track:3mNecsYFb6LQg7822DPXCP
